Date,Open,High,Low,Close,Volume
2022-01-26,66.079,66.7995,64.5852,65.4288,913848.6039193
2022-01-27,64.5676,65.9032,62.9156,64.8488,1830353.3739559
2022-01-28,65.0421,65.0421,62.2654,63.0738,2142529.1408702
2022-01-31,64.0756,64.3391,62.0369,62.3884,1989372.8272152
2022-02-01,62.8278,63.5659,62.3006,63.0211,806642.59845608
2022-02-02,63.355,64.2513,62.2654,62.652,1365193.1361817
2022-02-03,62.652,63.0563,62.1072,62.529,1103911.2874051
2022-02-04,62.5465,62.6169,60.4552,60.5607,1438629.1873323
2022-02-07,61.0528,61.4219,59.102,60.1917,1276078.4215357
2022-02-08,60.4552,63.0035,60.0862,62.9156,1543908.5050335
2022-02-09,63.3198,64.8488,62.5465,64.3743,1667848.1294295
2022-02-10,64.3743,64.6555,62.3006,62.5817,1039325.709217
2022-02-11,62.2126,63.0387,61.7733,62.9332,875826.96296809
2022-02-14,61.2813,62.5465,59.7874,62.0193,1394958.3567468
2022-02-15,62.5817,64.4095,62.5115,64.3919,1718987.8624264
2022-02-16,64.4271,66.3426,64.4271,64.7785,1596108.8836264
2022-02-17,64.5852,64.6379,62.5465,63.0738,1010581.3031367
2022-02-18,63.0387,63.5308,62.283,62.3533,758655.21342197
2022-02-21,62.8102,63.2671,59.4183,59.8578,985899.67042341
2022-02-22,58.522,61.4921,57.2392,61.2461,1615154.9830864
2022-02-23,61.4043,62.8278,59.928,59.928,1267082.2805085
2022-02-24,57.0459,57.907,53.7243,55.3236,2984248.1540943
2022-02-25,55.886,61.9491,55.8157,61.3867,2858757.3924154
2022-02-28,60.1565,63.0035,59.0493,62.4411,3363141.0326746
2022-03-01,62.5641,66.0087,62.5641,64.1634,2025565.6511354
2022-03-02,64.2337,68.0649,63.355,68.0649,3015471.1933381
2022-03-03,69.4181,71.3513,68.3988,69.506,3014196.597772
2022-03-04,68.5218,69.1369,64.761,65.3936,2185925.7058026
2022-03-07,64.1458,69.0666,64.1458,68.2758,2586028.0822102
2022-03-08,68.2758,69.9101,67.0632,67.9946,1698206.2645392
2022-03-09,69.5236,70.2616,64.2337,65.0597,2196088.3293792
2022-03-10,65.2178,66.2723,64.4973,65.6045,1471058.540237
2022-03-11,65.6045,68.3636,65.2003,68.1879,1558216.9782953
2022-03-14,67.6782,68.0297,64.8488,64.8488,2002820.94847
2022-03-15,65.2003,66.5535,64.4973,65.9032,1488566.0207636
2022-03-16,66.9753,66.9929,64.7082,65.4463,1555730.3789096
2022-03-17,66.079,67.5201,65.6397,67.3443,1530563.9446685
2022-03-18,67.5904,68.4866,65.4991,65.7099,2773750.9724067
2022-03-21,65.833,68.5394,65.8154,68.5394,1048172.7680843
2022-03-22,68.6273,68.9436,67.5904,68.5745,1137017.7692043
2022-03-23,68.9788,69.5587,68.3285,69.3829,771921.24959582
2022-03-24,69.3829,69.5938,67.4147,68.7503,1010070.3268784
2022-03-25,68.7503,69.3829,67.5025,68.2406,1020827.0030314
2022-03-28,67.4849,69.1194,67.3268,67.977,918033.14668426
2022-03-29,68.5218,68.5745,65.6045,66.3426,1783599.6153448
2022-03-30,66.905,67.0807,65.7451,66.448,1333258.8270907
2022-03-31,66.6238,67.7662,66.3426,66.7995,1596954.4412207
2022-04-01,67.4147,67.6255,66.4832,67.2038,934627.92574294
2022-04-04,67.6607,69.6466,67.4497,69.4181,1721438.0447959
2022-04-05,69.506,69.7168,67.0456,67.0456,1101017.2726509
2022-04-06,67.0456,67.6607,65.7451,67.6607,906216.96296692
2022-04-07,67.6607,67.6782,65.2003,65.2003,974214.36035796
2022-04-08,65.9032,67.0632,65.8154,66.7819,999000.69199271
2022-04-11,67.1334,69.1545,66.6062,69.1545,1340981.5105835
2022-04-12,69.0666,71.0877,67.5201,70.6307,1965675.5919705
2022-04-13,71.0877,71.8961,69.4357,71.7027,1605206.3094799
2022-04-14,71.7907,72.1421,70.4901,71.2458,691979.07089907
2022-04-19,71.2458,71.7555,69.9277,70.8064,937970.32500884
2022-04-20,70.8064,71.6324,69.8047,69.8047,579935.29244323
2022-04-21,70.1211,70.6483,68.8206,68.8733,1055387.8894141
2022-04-22,68.7151,68.7503,66.8699,66.8699,831821.55104648
2022-04-25,65.9208,66.3426,64.0756,64.0756,1487616.9022795
2022-04-26,65.5693,67.5553,64.7258,65.0421,1804697.58606
2022-04-27,65.1124,66.8523,64.9015,65.9208,1401212.979275
2022-04-28,66.7819,67.854,65.6221,66.7819,952322.04347743
2022-04-29,67.4849,68.1879,65.9032,66.1845,1169959.236399
2022-05-02,66.1669,66.3602,63.0035,63.6713,705116.50948455
2022-05-04,64.1458,65.8154,63.3902,65.0245,1091927.8130197
2022-05-05,65.8856,65.8856,63.2847,63.7065,1230759.7209682
2022-05-06,63.2671,65.8154,61.9491,65.8154,1506088.295703
2022-05-09,65.0949,67.1686,64.6379,66.2723,1174497.7070399
2022-05-10,66.3602,67.3971,63.4077,65.0245,1942414.2228881
2022-05-11,65.7275,66.1317,63.4253,63.4253,1504311.8281326
2022-05-12,62.3708,62.6872,60.877,61.5097,1806775.6320455
2022-05-13,62.2126,64.8839,62.2126,64.5852,1116398.9098582
2022-05-16,64.1458,65.3936,63.9701,64.8839,709496.79371146
2022-05-17,65.3584,66.2021,63.9701,64.0052,1020246.6068361
